交易 #,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,多头出场,2025-10-28 19:00,short,4120.44,24.314,99999.59176,184.79,0.18,565.54,0.57,-209.34,-0.21,184.79,0.02
1,多头进场,2025-10-28 14:30,long,4112.84,24.314,99999.59176,184.79,0.18,565.54,0.57,-209.34,-0.21,184.79,0.02
2,空头出场,2025-10-28 20:30,long,4121.97,24.2737,100018.3244,-37.14,-0.04,549.8,0.55,-169.43,-0.17,147.65,0.01
2,空头进场,2025-10-28 19:00,short,4120.44,24.2737,100018.3244,-37.14,-0.04,549.8,0.55,-169.43,-0.17,147.65,0.01
3,多头出场,2025-10-28 22:00,short,4159.61,24.2638,100014.6557,913.29,0.91,1300.05,1.30,-2.43,0.00,1060.94,0.11
3,多头进场,2025-10-28 20:30,long,4121.97,24.2638,100014.6557,913.29,0.91,1300.05,1.30,-2.43,0.00,1060.94,0.11
4,空头出场,2025-10-29 01:00,long,4136.21,24.0662,100106.0062,563.15,0.56,2125.77,2.12,-142.95,-0.14,1624.09,0.16
4,空头进场,2025-10-28 22:00,short,4159.61,24.0662,100106.0062,563.15,0.56,2125.77,2.12,-142.95,-0.14,1624.09,0.16
5,多头出场,2025-10-29 16:00,short,4018.5,24.2159,100162.0477,-2850.45,-2.85,364.93,0.36,-4961.35,-4.95,-1226.37,-0.12
5,多头进场,2025-10-29 01:00,long,4136.21,24.2159,100162.0477,-2850.45,-2.85,364.93,0.36,-4961.35,-4.95,-1226.37,-0.12
6,空头出场,2025-10-29 19:00,long,4009.27,24.8543,99877.00455,229.41,0.23,867.42,0.87,-45.98,-0.05,-996.96,-0.10
6,空头进场,2025-10-29 16:00,short,4018.5,24.8543,99877.00455,229.41,0.23,867.42,0.87,-45.98,-0.05,-996.96,-0.10
7,多头出场,2025-10-29 22:00,short,3977.02,24.9173,99900.18337,-803.58,-0.80,501.83,0.50,-884.56,-0.89,-1800.55,-0.18
7,多头进场,2025-10-29 19:00,long,4009.27,24.9173,99900.18337,-803.58,-0.80,501.83,0.50,-884.56,-0.89,-1800.55,-0.18
8,空头出场,2025-10-30 01:00,long,3966.98,25.0991,99819.62268,251.99,0.25,1280.56,1.28,-578.79,-0.58,-1548.55,-0.15
8,空头进场,2025-10-29 22:00,short,3977.02,25.0991,99819.62268,251.99,0.25,1280.56,1.28,-578.79,-0.58,-1548.55,-0.15
9,多头出场,2025-10-30 02:30,short,3917.9,25.169,99844.91962,-1235.29,-1.24,1295.7,1.30,-3186.65,-3.19,-2783.84,-0.28
9,多头进场,2025-10-30 01:00,long,3966.98,25.169,99844.91962,-1235.29,-1.24,1295.7,1.30,-3186.65,-3.19,-2783.84,-0.28
10,空头出场,2025-10-30 10:00,long,3944.17,25.4528,99721.52512,-668.65,-0.67,1117.12,1.12,-1162.94,-1.17,-3452.49,-0.35
10,空头进场,2025-10-30 02:30,short,3917.9,25.4528,99721.52512,-668.65,-0.67,1117.12,1.12,-1162.94,-1.17,-3452.49,-0.35
11,多头出场,2025-10-30 11:30,short,3934.58,25.2663,99654.58247,-242.3,-0.24,115.47,0.12,-408.56,-0.41,-3694.79,-0.37
11,多头进场,2025-10-30 10:00,long,3944.17,25.2663,99654.58247,-242.3,-0.24,115.47,0.12,-408.56,-0.41,-3694.79,-0.37
12,空头出场,2025-10-30 13:00,long,3874.77,25.3217,99630.25439,1514.49,1.52,2407.59,2.42,-11.9,-0.01,-2180.3,-0.22
12,空头进场,2025-10-30 11:30,short,3934.58,25.3217,99630.25439,1514.49,1.52,2407.59,2.42,-11.9,-0.01,-2180.3,-0.22
13,多头出场,2025-10-30 17:30,short,3900.19,25.7517,99781.91461,654.61,0.66,1807,1.81,-109.96,-0.11,-1525.69,-0.15
13,多头进场,2025-10-30 13:00,long,3874.77,25.7517,99781.91461,654.61,0.66,1807,1.81,-109.96,-0.11,-1525.69,-0.15
14,空头出场,2025-10-31 05:30,long,3773.4,25.6006,99847.20411,3245.9,3.25,5637,5.65,-187.91,-0.19,1720.21,0.17
14,空头进场,2025-10-30 17:30,short,3900.19,25.6006,99847.20411,3245.9,3.25,5637,5.65,-187.91,-0.19,1720.21,0.17
15,多头出场,2025-11-02 01:00,short,3869.4,26.5468,100171.6951,2548.49,2.54,3610.1,3.60,-246.62,-0.25,4268.7,0.43
15,多头进场,2025-10-31 05:30,long,3773.4,26.5468,100171.6951,2548.49,2.54,3610.1,3.60,-246.62,-0.25,4268.7,0.43
16,空头出场,2025-11-02 19:00,long,3881.2,25.9541,100426.7945,-306.26,-0.30,405.92,0.40,-1267.34,-1.26,3962.44,0.40
16,空头进场,2025-11-02 01:00,short,3869.4,25.9541,100426.7945,-306.26,-0.30,405.92,0.40,-1267.34,-1.26,3962.44,0.40
